"filename", "language", "JSON", "YAML", "Markdown", "C++", "Dart", "Swift", "XML", "comment", "blank", "total"
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\widgets\projectviewer.dart", "Dart", 0, 0, 0, 0, 221, 0, 0, 0, 12, 233
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\widgets\resettransformbutton.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\widgets\sidenavbar.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 1, 10, 115
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\widgets\titlebar.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 4, 43
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\widgets\toolbar.dart", "Dart", 0, 0, 0, 0, 73, 0, 0, 0, 7, 80
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\widgets\watermarc.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\widgets\windowbuttons.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 7, 0, 0, 0, 4, 5, 16
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\linux\my_application.cc", "C++", 0, 0, 0, 88, 0, 0, 0, 12, 21, 121
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 3, 4, 15
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 339, 0, 1, 340
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\pubspec.yaml", "YAML", 0, 28, 0, 0, 0, 0, 0, 57, 17, 102
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\testplan.json", "JSON", 142, 0, 0, 0, 0, 0, 0, 0, 0, 142
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\testproject.json", "JSON", 188, 0, 0, 0, 0, 0, 0, 0, 0, 188
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\testproject2.json", "JSON", 188, 0, 0, 0, 0, 0, 0, 0, 0, 188
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 6, 0, 0, 0, 4, 5, 15
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 45, 0, 0, 0, 4, 13, 62
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 5, 9, 34
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\main.cpp", "C++", 0, 0, 0, 32, 0, 0, 0, 4, 11, 47
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 6, 2, 17
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\utils.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 2, 10, 65
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 6, 6, 20
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 183, 0, 0, 0, 15, 48, 246
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 29, 22, 99
"Total", "-", 586, 31, 10, 521, 5262, 32, 339, 314, 581, 7676
